ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
3653,10851,0.9730094466936572,1.0,0.3767560664112388,60,148,2539,14,3,117,8610,-0.3333333333333333,0.3333333333333333,0.1428571428571428,0.3333333333333333,0.4514785612008551,0.4514785612008551,F71-ehatcher@apache.org,F3-NA,F15-NA,DE_MIGHT_IGNORE,BAD_PRACTICE,close
3653,10851,0.9730094466936572,0.8333333333333334,0.9980842911877394,60,148,2539,14,2,117,897,-1.0,-1.0,0.1428571428571428,0.0,0.1740548406037683,0.1740548406037683,F71-bodewig@apache.org,F3-NA,F15-NA,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,MALICIOUS_CODE,open
3653,10851,0.9730094466936572,0.6309523809523809,0.4936143039591315,60,148,2539,14,3,117,12374,-0.2786885245901639,0.5,0.1428571428571428,0.360655737704918,0.4514785612008551,0.4514785612008551,F71-ehatcher@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,close
3653,10851,0.9730094466936572,0.7169312169312169,0.1372924648786717,60,148,2539,14,3,117,12374,-0.2786885245901639,0.5,0.1428571428571428,0.360655737704918,0.4514785612008551,0.4514785612008551,F71-ehatcher@apache.org,F3-String,F15-NA,NM_CONFUSING,BAD_PRACTICE,close
3653,10851,0.9730094466936572,0.2307692307692307,0.3722860791826309,60,148,2539,14,3,117,9642,-0.5675675675675675,0.3333333333333333,0.1428571428571428,0.2162162162162162,0.4517481924711777,0.4517481924711777,F71-ehatcher@apache.org,F3-NA,F15-NA,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,open
3653,10851,0.9730094466936572,1.0,0.3767560664112388,60,148,2539,14,3,117,8610,-0.0869565217391304,0.3333333333333333,0.1428571428571428,0.4565217391304347,0.4517481924711777,0.4517481924711777,F71-ehatcher@apache.org,F3-NA,F15-NA,REC_CATCH_EXCEPTION,STYLE,close
2882,6363,0.2253521126760563,1.0,0.8691099476439791,10,148,63,14,1,117,885,-0.5515151515151515,-1.0,0.3333333333333333,0.2242424242424242,0.0049357761844129,0.0049357761844129,F71-bodewig@apache.org,F3-NA,F15-NA,DM_DEFAULT_ENCODING,I18N,open
2882,6363,0.2253521126760563,0.8333333333333334,0.2617801047120419,10,148,63,14,2,117,7762,0.5294117647058824,1.0,0.3333333333333333,0.7647058823529411,0.2351743470059592,0.2351743470059592,F71-antoine@apache.org,F3-NA,F15-NA,IJU_TEARDOWN_NO_SUPER,CORRECTNESS,close
2882,6363,0.2253521126760563,0.1,0.387434554973822,10,148,63,14,3,117,893,-0.7777777777777778,1.0,0.3333333333333333,0.1111111111111111,0.4517481924711777,0.4517481924711777,F71-bodewig@apache.org,F3-NA,F15-NA,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,close
2882,6363,0.7821782178217822,0.6666666666666666,0.8002577319587629,22,148,177,14,3,117,6453,-0.2786885245901639,-0.5,-1.0,0.360655737704918,0.4514785612008551,0.4514785612008551,F71-antoine@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
2882,6363,0.7821782178217822,0.8333333333333334,0.3298969072164948,22,148,177,14,3,117,6453,-0.2786885245901639,-0.5,-1.0,0.360655737704918,0.4514785612008551,0.4514785612008551,F71-antoine@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
2882,6363,0.7821782178217822,1.0,0.5927835051546392,22,148,177,14,2,117,6453,-0.5675675675675675,-1.0,-1.0,0.2162162162162162,0.4517481924711777,0.4517481924711777,F71-antoine@apache.org,F3-NA,F15-NA,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,open
2882,6363,0.7821782178217822,1.0,0.5670103092783505,22,148,177,14,3,117,6453,-0.5675675675675675,-1.0,-1.0,0.2162162162162162,0.4517481924711777,0.4517481924711777,F71-antoine@apache.org,F3-NA,F15-NA,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,open
3476,8618,1.4035453597497394,1.0,0.0521001615508885,125,148,9295,14,2,117,12615,1.0,0.0,0.0666666666666666,1.0,0.4514785612008551,0.4514785612008551,F71-ehatcher@apache.org,F3-NA,F15-NA,SE_BAD_FIELD,BAD_PRACTICE,close
4370,13494,1.5314285714285714,1.0,0.1763485477178423,29,148,892,14,2,117,12615,1.0,0.0,0.0,1.0,0.4514785612008551,0.4514785612008551,F71-costin@apache.org,F3-NA,F15-NA,SE_BAD_FIELD,BAD_PRACTICE,close
2882,6363,1.02734375,0.2159090909090909,0.5512152777777778,36,148,196,14,1,117,7071,-0.5515151515151515,-1.0,-1.0,0.2242424242424242,0.0049357761844129,0.0049357761844129,F71-jhm@apache.org,F3-NA,F15-NA,DM_DEFAULT_ENCODING,I18N,open
2882,6363,1.02734375,0.4,0.8125,36,148,196,14,1,117,9289,-1.0,-1.0,-1.0,0.0,0.4514785612008551,0.4514785612008551,F71-jhm@apache.org,F3-NA,F15-NA,UI_INHERITANCE_UNSAFE_GETRESOURCE,BAD_PRACTICE,open
3283,8127,0.6109422492401215,0.9523809523809524,0.3903508771929824,45,148,1041,14,2,117,6448,-0.875,-1.0,-1.0,0.0625,0.1740548406037683,0.1740548406037683,F71-antoine@apache.org,F3-NA,F15-NA,EI_EXPOSE_REP,MALICIOUS_CODE,open
3283,8127,0.6109422492401215,0.9523809523809524,0.3649122807017544,45,148,1041,14,2,117,7248,-0.875,-1.0,-1.0,0.0625,0.1740548406037683,0.1740548406037683,F71-costin@apache.org,F3-NA,F15-NA,EI_EXPOSE_REP,MALICIOUS_CODE,open
3476,8618,1.4035453597497394,1.0,0.0521001615508885,125,148,9295,14,2,117,12615,1.0,0.0,0.0666666666666666,1.0,0.4514785612008551,0.4514785612008551,F71-ehatcher@apache.org,F3-NA,F15-NA,SE_BAD_FIELD,BAD_PRACTICE,close
3667,11125,0.943502824858757,0.6666666666666666,0.2921052631578947,20,148,631,14,1,117,10300,-0.5515151515151515,-1.0,-1.0,0.2242424242424242,0.0049357761844129,0.0049357761844129,F71-ehatcher@apache.org,F3-NA,F15-NA,DM_DEFAULT_ENCODING,I18N,open
3667,11125,0.943502824858757,0.6666666666666666,0.2657894736842105,20,148,631,14,1,117,10300,-0.5515151515151515,-1.0,-1.0,0.2242424242424242,0.0049357761844129,0.0049357761844129,F71-ehatcher@apache.org,F3-NA,F15-NA,DM_DEFAULT_ENCODING,I18N,open
874,1741,0.3269230769230769,1.0,0.6973684210526315,3,148,15,14,3,117,862,0.1666666666666666,0.0,1.0,0.5833333333333334,0.2203916805658485,0.2203916805658485,F71-jglick@apache.org,F3-String,F15-NA,SIC_INNER_SHOULD_BE_STATIC_ANON,PERFORMANCE,close
2882,6363,1.1132075471698113,0.4,0.6895161290322581,10,148,288,14,1,117,8921,-0.5515151515151515,-1.0,-1.0,0.2242424242424242,0.0049357761844129,0.0049357761844129,F71-antoine@apache.org,F3-NA,F15-NA,DM_DEFAULT_ENCODING,I18N,open
2882,6363,1.1132075471698113,0.4,0.7459677419354839,10,148,288,14,1,117,8921,-0.5515151515151515,-1.0,-1.0,0.2242424242424242,0.0049357761844129,0.0049357761844129,F71-antoine@apache.org,F3-NA,F15-NA,DM_DEFAULT_ENCODING,I18N,open
3462,8614,0.4541387024608501,1.0,0.680672268907563,35,148,400,14,2,117,7710,-0.1111111111111111,0.0,-0.7142857142857143,0.4444444444444444,0.4514785612008551,0.4514785612008551,F71-antoine@apache.org,F3-NA,F15-NA,OS_OPEN_STREAM,BAD_PRACTICE,open
3462,8614,0.4541387024608501,0.5,0.1568627450980392,35,148,400,14,3,117,7735,-1.0,-1.0,-0.7142857142857143,0.0,0.4517481924711777,0.4517481924711777,F71-antoine@apache.org,F3-NA,F15-NA,PZLA_PREFER_ZERO_LENGTH_ARRAYS,STYLE,open
3462,8614,0.4541387024608501,0.2142857142857142,0.2773109243697479,35,148,400,14,2,117,7390,-0.5675675675675675,-1.0,-0.7142857142857143,0.2162162162162162,0.4517481924711777,0.4517481924711777,F71-antoine@apache.org,F3-NA,F15-NA,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,open
3462,8614,0.4541387024608501,0.2142857142857142,0.3039215686274509,35,148,400,14,2,117,1043,-0.5675675675675675,-1.0,-0.7142857142857143,0.2162162162162162,0.4517481924711777,0.4517481924711777,F71-antoine@apache.org,F3-NA,F15-NA,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,open
3668,11142,1.0057736720554271,1.0,0.9697452229299364,69,148,2757,14,3,117,1317,-1.0,-1.0,-0.8181818181818182,0.0,0.0049357761844129,0.0049357761844129,F71-bodewig@apache.org,F3-NA,F15-NA,DM_CONVERT_CASE,I18N,open
3668,11142,1.0057736720554271,1.0,0.8052016985138004,69,148,2757,14,3,117,1317,-1.0,-1.0,-0.8181818181818182,0.0,0.0049357761844129,0.0049357761844129,F71-bodewig@apache.org,F3-NA,F15-NA,DM_CONVERT_CASE,I18N,open
3668,11142,1.0057736720554271,1.0,0.7292993630573248,69,148,2757,14,3,117,1317,-1.0,-1.0,-0.8181818181818182,0.0,0.0049357761844129,0.0049357761844129,F71-bodewig@apache.org,F3-NA,F15-NA,DM_CONVERT_CASE,I18N,open
3668,11142,1.0057736720554271,0.6666666666666666,0.4262208067940552,69,148,2757,14,2,117,7793,-0.8181818181818182,-1.0,-0.8181818181818182,0.0909090909090909,0.1740548406037683,0.1740548406037683,F71-ehatcher@apache.org,F3-NA,F15-NA,EI_EXPOSE_REP2,MALICIOUS_CODE,open
3668,11142,1.0057736720554271,1.0,0.4081740976645435,69,148,2757,14,2,117,1853,-0.5121951219512195,0.0,-0.8181818181818182,0.2439024390243902,0.1318145573366314,0.1318145573366314,F71-peterreilly@apache.org,F3-NA,F15-NA,IS2_INCONSISTENT_SYNC,MT_CORRECTNESS,open
3668,11142,1.0057736720554271,1.0,0.458067940552017,69,148,2757,14,2,117,4366,-0.5121951219512195,0.0,-0.8181818181818182,0.2439024390243902,0.1318145573366314,0.1318145573366314,F71-antoine@apache.org,F3-NA,F15-NA,IS2_INCONSISTENT_SYNC,MT_CORRECTNESS,open
3668,11142,1.0057736720554271,1.0,0.078556263269639,69,148,2757,14,2,117,8103,1.0,0.0,-0.8181818181818182,1.0,0.1740548406037683,0.1740548406037683,F71-ehatcher@apache.org,F3-NA,F15-NA,MS_PKGPROTECT,MALICIOUS_CODE,close
3668,11142,1.0057736720554271,0.6666666666666666,0.3980891719745223,69,148,2757,14,3,117,12582,-0.2786885245901639,-0.5,-0.8181818181818182,0.360655737704918,0.4514785612008551,0.4514785612008551,F71-ehatcher@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
3668,11142,1.0057736720554271,0.8333333333333334,0.3895966029723992,69,148,2757,14,3,117,12582,-0.2786885245901639,-0.5,-0.8181818181818182,0.360655737704918,0.4514785612008551,0.4514785612008551,F71-ehatcher@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
