ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
4384,10851,0.9756427604871448,0.6309523809523809,0.4936061381074169,60,150,2540,71,3,115,12680,-0.9016393442622952,-0.5,-0.4285714285714285,0.0491803278688524,0.2136282264283817,0.2136282264283817,F71-ehatcher@apache.org,,,NM_CONFUSING,BAD_PRACTICE,open
4384,10851,0.9756427604871448,0.7169312169312169,0.1374680306905371,60,150,2540,71,3,115,12680,-0.9016393442622952,-0.5,-0.4285714285714285,0.0491803278688524,0.2136282264283817,0.2136282264283817,F71-ehatcher@apache.org,F3-String,F15-public,NM_CONFUSING,BAD_PRACTICE,open
495,718,0.2869565217391304,0.0859375,0.9017857142857144,10,150,134,71,2,115,145,-1.0,-1.0,-1.0,0.0,0.342328337585034,0.342328337585034,F71-hibou@apache.org,,,NP_NULL_ON_SOME_PATH_EXCEPTION,CORRECTNESS,open
4207,8618,1.405857740585774,1.0,0.0522267206477732,125,150,9296,71,2,115,12921,-1.0,0.0,-0.4285714285714285,0.0,0.2136282264283817,0.2136282264283817,F71-ehatcher@apache.org,,,SE_BAD_FIELD,BAD_PRACTICE,open
5101,13494,1.5402298850574712,1.0,0.1767151767151767,29,150,893,71,2,115,12921,-1.0,0.0,0.0,0.0,0.2136282264283817,0.2136282264283817,F71-costin@apache.org,,F15-public,SE_BAD_FIELD,BAD_PRACTICE,open
242,645,0.717948717948718,0.3333333333333333,0.9078947368421052,5,150,2,71,2,115,72,0.0588235294117647,-1.0,-1.0,0.5294117647058824,0.2115252574928246,0.2115252574928246,F71-antoine@apache.org,F3-String,,DLS_DEAD_LOCAL_STORE,STYLE,open
1605,1741,0.3269230769230769,1.0,0.6973684210526315,3,150,15,71,3,115,1168,-0.951219512195122,0.0,-1.0,0.024390243902439,0.0139352698317494,0.0139352698317494,F71-jglick@apache.org,F3-String,F15-public,SIC_INNER_SHOULD_BE_STATIC_ANON,PERFORMANCE,open
4193,8614,0.4541387024608501,0.0698496905393457,0.7023031434796141,35,150,571,71,2,115,8041,-1.0,-1.0,-1.0,0.0,0.0335169880624426,0.0335169880624426,F71-antoine@apache.org,F3-InputStream,,OBL_UNSATISFIED_OBLIGATION,EXPERIMENTAL,open
4207,8618,1.405857740585774,1.0,0.0704453441295546,125,150,9296,71,3,115,161,-0.951219512195122,0.0,-0.4285714285714285,0.024390243902439,0.0139352698317494,0.0139352698317494,F71-mbenson@apache.org,,F15-protected,SIC_INNER_SHOULD_BE_STATIC_ANON,PERFORMANCE,open
3618,6389,0.8673469387755102,1.0,0.8137931034482759,28,150,756,71,2,115,6035,-1.0,0.0,-1.0,0.0,0.1552560196195005,0.1552560196195005,F71-antoine@apache.org,,,IS2_INCONSISTENT_SYNC,MT_CORRECTNESS,open
