ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
474,2238,0.0434782608695652,0.6666666666666666,0.4447731755424063,11,121,685,370,3,344,697,0.6666666666666666,-0.5,0.0,0.8333333333333334,0.5552680871869015,0.5552680871869015,F71-mbenson@apache.org,F3-String,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
474,2238,0.0434782608695652,1.0,0.8915187376725838,11,121,685,370,3,344,697,0.5882352941176471,0.0,0.0,0.7941176470588235,0.2647564154640469,0.2647564154640469,F71-mbenson@apache.org,F3-String,F15-NA,SIC_INNER_SHOULD_BE_STATIC_ANON,PERFORMANCE,close
751,2562,0.0770925110132158,1.0,0.2655018842069201,149,121,2249,370,3,344,1021,-0.48,1.0,-0.3857142857142857,0.26,0.7125879389300751,0.7125879389300751,F71-bayard@apache.org,F3-NA,F15-NA,DLS_DEAD_LOCAL_STORE,STYLE,close
751,2562,0.0770925110132158,1.0,0.9938335046248716,149,121,2249,370,2,344,1021,-0.2857142857142857,1.0,-0.3857142857142857,0.3571428571428571,0.2647564154640469,0.2647564154640469,F71-bayard@apache.org,F3-NA,F15-NA,DM_NUMBER_CTOR,PERFORMANCE,close
751,2562,0.0770925110132158,1.0,0.9806440561836244,149,121,2249,370,2,344,1021,-0.2857142857142857,1.0,-0.3857142857142857,0.3571428571428571,0.2647564154640469,0.2647564154640469,F71-bayard@apache.org,F3-NA,F15-NA,DM_NUMBER_CTOR,PERFORMANCE,close
751,2562,0.0770925110132158,1.0,0.9874957177115452,149,121,2249,370,2,344,1021,-0.2857142857142857,-0.3333333333333333,-0.3857142857142857,0.3571428571428571,0.2647564154640469,0.2647564154640469,F71-bayard@apache.org,F3-NA,F15-NA,DM_NUMBER_CTOR,PERFORMANCE,open
751,2562,0.0770925110132158,1.0,1.3705606943017017,149,121,2249,370,3,344,1021,-0.2857142857142857,0.3333333333333333,-0.3857142857142857,0.3571428571428571,0.2647564154640469,0.2647564154640469,F71-bayard@apache.org,F3-NA,F15-NA,DM_NUMBER_CTOR,PERFORMANCE,close
751,2562,0.0770925110132158,1.0,1.3680484184081307,149,121,2249,370,3,344,1021,-0.2857142857142857,-0.1111111111111111,-0.3857142857142857,0.3571428571428571,0.2647564154640469,0.2647564154640469,F71-bayard@apache.org,F3-NA,F15-NA,DM_NUMBER_CTOR,PERFORMANCE,close
751,2562,0.0770925110132158,1.0,0.1312093182596779,149,121,2249,370,2,344,913,0.4782608695652174,1.0,-0.3857142857142857,0.7391304347826086,0.2950820030805853,0.2950820030805853,F71-bayard@apache.org,F3-NA,F15-NA,EC_BAD_ARRAY_COMPARE,CORRECTNESS,close
751,2562,0.0770925110132158,1.0,0.1288112367249058,149,121,2249,370,2,344,913,0.4782608695652174,1.0,-0.3857142857142857,0.7391304347826086,0.2950820030805853,0.2950820030805853,F71-bayard@apache.org,F3-NA,F15-NA,EC_BAD_ARRAY_COMPARE,CORRECTNESS,close
