ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
1739,3644,2.631578947368421,1.0,1.2581699346405228,8,48,264,0,3,23,7139,-0.8571428571428571,-0.5,-1.0,0.0714285714285714,0.5053182062282564,0.5053182062282564,F71-rhillegas@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
1573,3346,0.1012658227848101,1.0,2.75414364640884,129,10,151,0,3,3,7139,-0.8571428571428571,-0.5,-1.0,0.0714285714285714,0.5053182062282564,0.5053182062282564,F71-rhillegas@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
1573,3346,0.1012658227848101,1.0,2.7845303867403315,129,10,151,0,3,3,7139,-0.8571428571428571,-0.5,-1.0,0.0714285714285714,0.5053182062282564,0.5053182062282564,F71-rhillegas@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
3154,8134,0.1551020408163265,1.0,0.4196428571428571,8,16,159,89,3,29,7139,-0.6410256410256411,-1.0,-1.0,0.1794871794871795,0.2134150479829466,0.2134150479829466,F71-djd@apache.org,F3-NA,F15-NA,BC_UNCONFIRMED_CAST,STYLE,open
3154,8134,0.1551020408163265,1.0,0.4136904761904761,8,16,159,89,2,29,7139,-0.2222222222222222,0.0,-1.0,0.3888888888888889,0.2857938467154214,0.2857938467154214,F71-djd@apache.org,F3-NA,F15-NA,URF_UNREAD_FIELD,PERFORMANCE,open
23,1034,0.5753823743627094,0.1578947368421052,0.85519238725693,85,16,670,89,2,29,2168,-0.6484375,-1.0,-1.0,0.17578125,0.2134150479829466,0.2134150479829466,F71-bpendleton@apache.org,F3-NA,F15-NA,DLS_DEAD_LOCAL_STORE,STYLE,open
23,1034,0.5753823743627094,1.0,0.7782374844848986,85,16,670,89,1,29,7139,-1.0,-1.0,-1.0,0.0,0.5053182062282564,0.5053182062282564,F71-bpendleton@apache.org,F3-NA,F15-NA,DMI_RANDOM_USED_ONLY_ONCE,BAD_PRACTICE,open
23,1034,0.5753823743627094,1.0,0.2772031443938767,85,16,670,89,3,29,7139,-0.4444444444444444,-1.0,-1.0,0.2777777777777778,0.002919321664456,0.002919321664456,F71-bpendleton@apache.org,F3-String,F15-NA,DM_CONVERT_CASE,I18N,open
23,1034,0.5753823743627094,1.0,0.8142325196524617,85,16,670,89,2,29,3463,-0.3703703703703703,-1.0,-1.0,0.3148148148148148,0.2134150479829466,0.2134150479829466,F71-bpendleton@apache.org,F3-NA,F15-NA,NP_LOAD_OF_KNOWN_NULL_VALUE,STYLE,open
23,1034,0.5753823743627094,1.0,0.7856847331402566,85,16,670,89,2,29,3463,-0.3703703703703703,-1.0,-1.0,0.3148148148148148,0.2134150479829466,0.2134150479829466,F71-bpendleton@apache.org,F3-NA,F15-NA,NP_LOAD_OF_KNOWN_NULL_VALUE,STYLE,open
23,1034,0.5753823743627094,1.0,0.7283822920976417,85,16,670,89,2,29,2579,-0.873015873015873,-1.0,-1.0,0.0634920634920634,0.0006345473717607755,0.0006345473717607755,F71-bpendleton@apache.org,F3-String,F15-NA,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,EXPERIMENTAL,open
23,1034,0.5753823743627094,0.3181818181818182,0.3721555647496897,85,16,670,89,2,29,2579,-0.873015873015873,-1.0,-1.0,0.0634920634920634,0.0006345473717607755,0.0006345473717607755,F71-bpendleton@apache.org,F3-String,F15-NA,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,EXPERIMENTAL,open
23,1034,0.5753823743627094,0.3653846153846153,0.339056681836988,85,16,670,89,2,29,2579,-0.873015873015873,-1.0,-1.0,0.0634920634920634,0.0006345473717607755,0.0006345473717607755,F71-bpendleton@apache.org,F3-NA,F15-NA,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,EXPERIMENTAL,open
23,1034,0.5753823743627094,0.4130434782608695,0.5227554820024825,85,16,670,89,2,29,3743,-0.873015873015873,-1.0,-1.0,0.0634920634920634,0.0006345473717607755,0.0006345473717607755,F71-bpendleton@apache.org,F3-NA,F15-NA,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,EXPERIMENTAL,open
