ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
3245,8134,0.1563786008230452,1.0,0.4119402985074626,8,16,21,5,3,29,7379,-0.9175257731958762,-1.0,-1.0,0.0412371134020618,0.1281008221198313,0.1281008221198313,F71-djd@apache.org,F3-NA,F15-NA,BC_UNCONFIRMED_CAST,STYLE,open
3245,8134,0.1563786008230452,1.0,0.4059701492537313,8,16,21,5,2,29,7379,-0.8490566037735849,0.0,-1.0,0.0754716981132075,0.1409213429552811,0.1409213429552811,F71-djd@apache.org,F3-NA,F15-NA,URF_UNREAD_FIELD,PERFORMANCE,open
114,1034,0.5753823743627094,0.1578947368421052,0.85519238725693,85,16,846,5,2,29,2408,-0.9452054794520548,-1.0,-1.0,0.0273972602739726,0.1281008221198313,0.1281008221198313,F71-bpendleton@apache.org,F3-NA,F15-NA,DLS_DEAD_LOCAL_STORE,STYLE,open
114,1034,0.5753823743627094,1.0,0.7782374844848986,85,16,846,5,1,29,7379,-1.0,-1.0,-1.0,0.0,0.0043920691036579,0.0043920691036579,F71-bpendleton@apache.org,F3-NA,F15-NA,DMI_RANDOM_USED_ONLY_ONCE,BAD_PRACTICE,open
114,1034,0.5753823743627094,1.0,0.2772031443938767,85,16,846,5,3,29,7379,-0.6470588235294118,-1.0,-1.0,0.1764705882352941,0.0014205002224847,0.0014205002224847,F71-bpendleton@apache.org,F3-String,F15-NA,DM_CONVERT_CASE,I18N,open
114,1034,0.5753823743627094,1.0,0.8142325196524617,85,16,846,5,2,29,3703,-0.7358490566037735,-1.0,-1.0,0.1320754716981132,0.1281008221198313,0.1281008221198313,F71-bpendleton@apache.org,F3-NA,F15-NA,NP_LOAD_OF_KNOWN_NULL_VALUE,STYLE,open
114,1034,0.5753823743627094,1.0,0.7856847331402566,85,16,846,5,2,29,3703,-0.7358490566037735,-1.0,-1.0,0.1320754716981132,0.1281008221198313,0.1281008221198313,F71-bpendleton@apache.org,F3-NA,F15-NA,NP_LOAD_OF_KNOWN_NULL_VALUE,STYLE,open
114,1034,0.5753823743627094,1.0,0.7283822920976417,85,16,846,5,2,29,2819,-1.0,-1.0,-1.0,0.0,0.0,0.0,F71-bpendleton@apache.org,F3-String,F15-NA,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,EXPERIMENTAL,open
114,1034,0.5753823743627094,0.3181818181818182,0.3721555647496897,85,16,846,5,2,29,2819,-1.0,-1.0,-1.0,0.0,0.0,0.0,F71-bpendleton@apache.org,F3-String,F15-NA,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,EXPERIMENTAL,open
114,1034,0.5753823743627094,0.3653846153846153,0.339056681836988,85,16,846,5,2,29,2819,-1.0,-1.0,-1.0,0.0,0.0,0.0,F71-bpendleton@apache.org,F3-NA,F15-NA,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,EXPERIMENTAL,open
