ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
3576,11856,0.4133663366336633,0.6666666666666666,0.156891495601173,27,7,19,0,2,3,8624,-0.4,1.0,1.0,0.3,0.1531640368178829,0.1531640368178829,F71-mstover1@apache.org,F3-NA,F15-NA,EI_EXPOSE_REP,MALICIOUS_CODE,close
3576,11856,0.4133663366336633,0.3571428571428571,0.3328445747800586,27,7,19,0,2,3,8624,-0.8,1.0,1.0,0.1,0.1531640368178829,0.1531640368178829,F71-mstover1@apache.org,F3-NA,F15-NA,EI_EXPOSE_REP2,MALICIOUS_CODE,close
3576,11856,0.4133663366336633,0.1428571428571428,0.3284457478005865,27,7,19,0,2,3,8624,-0.8,1.0,1.0,0.1,0.1531640368178829,0.1531640368178829,F71-mstover1@apache.org,F3-NA,F15-NA,EI_EXPOSE_REP2,MALICIOUS_CODE,close
2424,8614,0.3009708737864077,1.0,0.9666666666666668,8,1,106,0,3,1,5382,-0.4310344827586206,1.0,1.0,0.2758620689655172,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-NA,F15-NA,REC_CATCH_EXCEPTION,STYLE,close
4525,13761,0.1390319258496395,1.0,0.3410981697171381,23,13,1434,5,2,8,3732,0.7142857142857143,1.0,0.6666666666666666,0.8571428571428571,0.1169671201814059,0.1169671201814059,F71-fschumacher@apache.org,F3-NA,F15-NA,DM_EXIT,BAD_PRACTICE,close
4525,13761,0.1390319258496395,0.4137931034482758,0.9093178036605656,23,13,1434,5,2,8,8392,-0.4,-1.0,0.6666666666666666,0.3,0.1531640368178829,0.1531640368178829,F71-fschumacher@apache.org,F3-NA,F15-NA,EI_EXPOSE_REP,MALICIOUS_CODE,open
4525,13761,0.1390319258496395,1.0,0.7029950083194676,23,13,1434,5,2,8,10529,-0.4310344827586206,1.0,0.6666666666666666,0.2758620689655172,0.3732106040129017,0.3732106040129017,F71-woolfel@apache.org,F3-NA,F15-NA,REC_CATCH_EXCEPTION,STYLE,close
4525,13761,0.1390319258496395,1.0,0.2628951747088186,23,13,1434,5,3,8,10529,0.4838709677419355,0.0,0.6666666666666666,0.7419354838709677,0.1312129032990832,0.1312129032990832,F71-woolfel@apache.org,F3-String,F15-NA,SIC_INNER_SHOULD_BE_STATIC_ANON,PERFORMANCE,open
4525,13761,0.1390319258496395,1.0,0.8768718801996672,23,13,1434,5,3,8,220,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3732106040129017,0.3732106040129017,F71-fschumacher@apache.org,F3-NA,F15-NA,UC_USELESS_CONDITION,STYLE,close
4525,13761,0.1390319258496395,1.0,0.8627287853577371,23,13,1434,5,3,8,10529,0.4838709677419355,0.0,0.6666666666666666,0.7419354838709677,0.1312129032990832,0.1312129032990832,F71-woolfel@apache.org,F3-NA,F15-NA,SIC_INNER_SHOULD_BE_STATIC_ANON,PERFORMANCE,open
1964,7835,0.5,0.9393939393939394,0.8054187192118226,7,13,780,5,2,8,8226,0.7142857142857143,1.0,1.0,0.8571428571428571,0.1169671201814059,0.1169671201814059,F71-dev-null@apache.org,F3-NA,F15-NA,DM_EXIT,BAD_PRACTICE,close
