ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
4525,13761,0.1390319258496395,1.0,0.7029950083194676,23,13,1434,5,2,8,10529,-0.4310344827586206,1.0,0.6666666666666666,0.2758620689655172,0.3732106040129017,0.3732106040129017,F71-woolfel@apache.org,F3-NA,F15-NA,REC_CATCH_EXCEPTION,STYLE,close
1964,7835,0.5,0.9393939393939394,0.8054187192118226,7,13,780,5,2,8,8226,0.7142857142857143,1.0,1.0,0.8571428571428571,0.1169671201814059,0.1169671201814059,F71-dev-null@apache.org,F3-NA,F15-NA,DM_EXIT,BAD_PRACTICE,close
1964,7835,0.5,0.2608695652173913,0.3990147783251231,7,13,780,5,2,8,8226,-0.4,1.0,1.0,0.3,0.1531640368178829,0.1531640368178829,F71-dev-null@apache.org,F3-NA,F15-NA,EI_EXPOSE_REP,MALICIOUS_CODE,close
1884,7725,0.4722222222222222,1.0,0.55,1,24,52,45,3,21,4493,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
2369,8467,0.8238095238095238,1.0,0.1276102088167053,32,22,461,50,3,17,10529,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-thads@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
1965,7860,0.4973821989528796,1.0,0.1490683229813664,15,22,241,50,3,17,9366,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-fschumacher@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
4525,13761,0.5470085470085471,0.6428571428571429,0.8048780487804879,9,26,278,6,3,17,5235,-0.4666666666666667,-1.0,-1.0,0.2666666666666666,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-NA,F15-NA,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,open
748,4785,0.4020618556701031,1.0,0.1246105919003115,20,15,38,50,3,8,1553,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-fschumacher@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
1895,7734,0.68,1.0,0.6530612244897959,1,15,12,50,3,8,4502,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
2915,10182,0.4717741935483871,1.0,0.8019323671497585,38,36,1033,44,3,14,10529,0.4838709677419355,0.0,0.3333333333333333,0.7419354838709677,0.1312129032990832,0.1312129032990832,F71-woolfel@apache.org,F3-NA,F15-NA,SIC_INNER_SHOULD_BE_STATIC_ANON,PERFORMANCE,open
2766,9655,1.0359712230215827,0.2291666666666666,0.2192556634304207,31,36,530,44,2,14,5233,1.0,1.0,1.0,1.0,0.0819160997732426,0.0819160997732426,F71-sebb@apache.org,F3-NA,F15-NA,DC_PARTIALLY_CONSTRUCTED,MT_CORRECTNESS,close
2766,9655,1.0359712230215827,1.0,0.441747572815534,31,36,530,44,3,14,5233,-0.4310344827586206,1.0,1.0,0.2758620689655172,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-NA,F15-NA,REC_CATCH_EXCEPTION,STYLE,close
2766,9655,1.0359712230215827,1.0,0.3333333333333333,31,36,530,44,3,14,5233,-0.4310344827586206,1.0,1.0,0.2758620689655172,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-NA,F15-NA,REC_CATCH_EXCEPTION,STYLE,close
2463,8752,0.7525252525252525,0.2666666666666666,0.5411471321695761,21,36,201,44,3,14,8185,-0.4666666666666667,1.0,1.0,0.2666666666666666,0.3732106040129017,0.3732106040129017,F71-dev-null@apache.org,F3-NA,F15-NA,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,close
4348,13569,0.3472222222222222,1.0,0.8504672897196262,9,60,377,50,3,15,5233,-0.4310344827586206,1.0,1.0,0.2758620689655172,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-NA,F15-NA,REC_CATCH_EXCEPTION,STYLE,close
4508,13709,0.2484472049689441,1.0,0.2510288065843621,25,10,262,12,3,6,10277,0.6885245901639344,0.0,0.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-thads@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
1895,7734,0.68,1.0,0.6530612244897959,1,10,11,12,3,6,4502,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
2437,8674,0.3333333333333333,0.6666666666666666,1.6730769230769231,18,23,137,138,3,20,9994,0.0,-0.5,0.0,0.5,0.1169671201814059,0.1169671201814059,F71-mstover1@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
2407,8526,0.3312101910828025,1.0,0.1204301075268817,27,23,303,138,3,20,5294,0.6885245901639344,0.0,0.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-fschumacher@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
1164,6539,0.32,1.0,0.1414868105515587,30,23,542,138,3,20,10529,0.6885245901639344,0.0,0.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-thads@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
2797,9736,1.1025641025641026,1.0,0.4387755102040816,9,23,158,138,3,20,10529,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-mstover1@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
1908,7736,0.5337423312883436,1.0,0.1766784452296819,18,23,405,138,3,20,10529,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-woolfel@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
3123,10273,1.064516129032258,0.6666666666666666,6.402597402597403,6,21,36,4,3,3,9247,0.0,-0.5,-1.0,0.5,0.1169671201814059,0.1169671201814059,F71-mstover1@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
2437,8674,0.4683098591549295,0.3423913043478261,0.3056768558951965,21,19,192,133,1,24,759,0.1481481481481481,-1.0,-0.5,0.5740740740740741,0.0005317106523411692,0.0005317106523411692,F71-sebb@apache.org,F3-String,F15-NA,DM_DEFAULT_ENCODING,I18N,open
2437,8674,0.4683098591549295,0.4166666666666667,0.517467248908297,21,19,192,133,2,24,4607,-0.3333333333333333,1.0,-0.5,0.3333333333333333,0.1312129032990832,0.1312129032990832,F71-sebb@apache.org,F3-NA,F15-NA,WMI_WRONG_MAP_ITERATOR,PERFORMANCE,close
2915,10176,0.3522458628841607,0.1576576576576576,0.3187702265372168,15,19,657,133,1,24,876,0.1481481481481481,-0.5,-0.3333333333333333,0.5740740740740741,0.0005317106523411692,0.0005317106523411692,F71-sebb@apache.org,F3-String,F15-NA,DM_DEFAULT_ENCODING,I18N,open
2915,10176,0.3522458628841607,0.3963963963963964,0.3349514563106796,15,19,657,133,1,24,876,0.3333333333333333,-0.5,-0.3333333333333333,0.6666666666666666,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-NA,F15-NA,UC_USELESS_CONDITION,STYLE,close
4513,13726,0.2609506057781919,0.6666666666666666,0.2335075114304376,83,19,1645,133,3,24,5233,0.0,-0.5,-0.1666666666666666,0.5,0.1169671201814059,0.1169671201814059,F71-fschumacher@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
4513,13726,0.2609506057781919,1.0,0.9732201175702156,83,19,1645,133,2,24,818,1.0,0.0,-0.1666666666666666,1.0,0.1169671201814059,0.1169671201814059,F71-fschumacher@apache.org,F3-NA,F15-NA,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,BAD_PRACTICE,close
3687,11909,0.1680555555555555,1.0,0.08682328907048,35,1,1581,11,3,2,10529,0.6885245901639344,0.0,0.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-woolfel@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
4093,13076,0.7608695652173914,1.0,0.1904761904761904,21,52,230,71,3,29,9844,0.6885245901639344,0.0,0.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-woolfel@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
1493,7128,0.4100817438692098,1.0,0.2240484429065743,17,52,1086,71,2,29,3896,1.0,1.0,1.0,1.0,0.0,0.0,F71-sebb@apache.org,F3-NA,F15-NA,NP_NULL_PARAM_DEREF,CORRECTNESS,close
1493,7128,0.3114035087719298,1.0,0.4872754491017964,23,52,419,71,3,29,3896,0.4838709677419355,0.0,0.0,0.7419354838709677,0.1312129032990832,0.1312129032990832,F71-sebb@apache.org,F3-NA,F15-NA,SIC_INNER_SHOULD_BE_STATIC_ANON,PERFORMANCE,open
1795,7545,0.2230769230769231,0.6666666666666666,0.4190981432360742,15,52,364,71,3,29,9994,0.0,0.5,1.0,0.5,0.1169671201814059,0.1169671201814059,F71-woolfel@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,close
1795,7545,0.2230769230769231,0.8333333333333334,0.4244031830238727,15,52,364,71,3,29,10529,0.0,0.5,1.0,0.5,0.1169671201814059,0.1169671201814059,F71-dev-null@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,close
1795,7545,0.2230769230769231,1.0,0.1326259946949602,15,52,364,71,3,29,10529,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-dev-null@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,close
1795,7545,0.6122448979591837,0.8333333333333334,1.0,35,52,578,71,3,29,10097,0.0,0.5,1.0,0.5,0.1169671201814059,0.1169671201814059,F71-woolfel@apache.org,F3-String,F15-NA,NM_CONFUSING,BAD_PRACTICE,close
1795,7545,0.6122448979591837,0.2291666666666666,0.2333333333333333,35,52,578,71,2,29,5233,0.5,1.0,1.0,0.75,0.3732106040129017,0.3732106040129017,F71-sebb@apache.org,F3-JMeterFileFilter,F15-NA,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,STYLE,close
1795,7545,0.624,1.0,0.1774891774891775,17,23,194,24,3,8,10529,0.6885245901639344,0.0,1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-mstover1@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
1795,7545,1.3289473684210529,1.0,0.2610837438423645,16,23,69,24,3,8,5407,0.6885245901639344,0.0,-1.0,0.8442622950819673,0.3732106040129017,0.3732106040129017,F71-fschumacher@apache.org,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
3974,12415,0.5414012738853503,0.35,0.9517857142857142,12,1,48,0,3,2,5233,-0.4565217391304347,1.0,0.0,0.2608695652173913,0.3732106040129017,0.3732106040129017,F71-rjung@apache.org,F3-String,F15-NA,BC_UNCONFIRMED_CAST,STYLE,close
