ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
1341,2658,0.0502215657311669,0.0857142857142857,0.5273364485981308,17,29,1850,31,2,15,9068,1.0,1.0,0.3333333333333333,1.0,0.0892857142857142,0.0892857142857142,F71-kenney@apache.org,F3-NA,F15-NA,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,EXPERIMENTAL,close
860,1414,0.2830188679245283,1.0,0.4777070063694267,12,29,270,31,3,15,702,-0.808,1.0,1.0,0.04,0.355314404169412,0.355314404169412,F71-bimargulies@apache.org,F3-NA,F15-NA,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,STYLE,close
1909,4237,0.297029702970297,0.6842105263157895,0.6,5,10,979,43,1,4,1640,-0.8947368421052632,1.0,1.0,0.0526315789473684,0.331596779357607,0.331596779357607,F71-olamy@apache.org,F3-NA,F15-NA,DM_BOXED_PRIMITIVE_FOR_PARSING,PERFORMANCE,close
998,1575,0.4444444444444444,0.5444444444444445,0.6071428571428571,6,21,47,23,3,13,863,-1.0,-0.5,-1.0,0.0,0.1486272236375116,0.1486272236375116,F71-krosenvold@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,712,1.3818181818181818,1.0,0.0213385063045586,61,83,0,0,3,110,9466,-1.0,0.0,-1.0,0.0,0.355314404169412,0.355314404169412,,F3-NA,F15-NA,RI_REDUNDANT_INTERFACES,STYLE,open
0,712,1.3818181818181818,1.0,0.0213385063045586,61,83,0,0,3,110,9466,-1.0,0.0,-1.0,0.0,0.1486272236375116,0.1486272236375116,,F3-NA,F15-NA,SE_NO_SERIALVERSIONID,BAD_PRACTICE,open
0,712,1.240174672489083,1.0,0.0347826086956521,30,83,0,0,3,110,9466,-1.0,0.0,-1.0,0.0,0.1486272236375116,0.1486272236375116,,F3-NA,F15-NA,SE_NO_SERIALVERSIONID,BAD_PRACTICE,open
0,712,1.7848101265822784,1.0,0.0860655737704918,11,83,0,0,3,110,9466,-1.0,0.0,-1.0,0.0,0.1486272236375116,0.1486272236375116,,F3-NA,F15-NA,SE_NO_SERIALVERSIONID,BAD_PRACTICE,open
0,712,1.3142857142857145,1.0,0.081967213114754,9,83,0,0,3,110,9466,-1.0,0.0,-1.0,0.0,0.1486272236375116,0.1486272236375116,,F3-NA,F15-NA,SE_NO_SERIALVERSIONID,BAD_PRACTICE,open
1279,2264,0.0508083140877598,0.6666666666666666,0.112012987012987,52,3,445,6,3,4,1425,-0.5131578947368421,1.0,0.0,0.0921052631578947,0.355314404169412,0.355314404169412,F71-bentmann@apache.org,F3-NA,F15-private,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,close
1279,2264,0.0508083140877598,0.6666666666666666,0.1314935064935065,52,3,445,6,3,4,1425,-0.5131578947368421,1.0,0.0,0.0921052631578947,0.355314404169412,0.355314404169412,F71-bentmann@apache.org,F3-NA,F15-private,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,STYLE,close
375,978,0.3388429752066115,0.23954802259887,0.734375,4,51,52,47,1,13,1171,-0.1538461538461538,-1.0,-1.0,0.3846153846153846,0.0,0.0,F71-bentmann@apache.org,F3-NA,F15-NA,DM_DEFAULT_ENCODING,I18N,open
375,978,0.3388429752066115,0.231638418079096,0.7083333333333334,4,51,52,47,1,13,1219,-0.1538461538461538,-1.0,-1.0,0.3846153846153846,0.0,0.0,F71-olamy@apache.org,F3-NA,F15-NA,DM_DEFAULT_ENCODING,I18N,open
1341,2658,0.2631578947368421,1.0,0.3037974683544304,22,51,127,47,3,13,7487,-0.6666666666666666,0.0,0.0,0.0,0.1486272236375116,0.1486272236375116,F71-olamy@apache.org,F3-NA,F15-NA,SE_BAD_FIELD,BAD_PRACTICE,open
3066,9782,0.1970802919708029,1.0,0.1207729468599033,28,10,212,14,3,5,9070,-0.6666666666666666,0.0,-1.0,0.0,0.1486272236375116,0.1486272236375116,F71-kenney@apache.org,F3-NA,F15-NA,SE_BAD_FIELD,BAD_PRACTICE,open
3066,9782,0.7652173913043478,0.4166666666666667,0.7848189415041783,58,10,390,14,2,5,7530,0.6666666666666666,1.0,1.0,0.6666666666666666,0.0811631944444444,0.0811631944444444,F71-kenney@apache.org,F3-NA,F15-NA,NP_NULL_ON_SOME_PATH,CORRECTNESS,close
