F72,F25,F65,F68,F101,F104,F105,F3-TEST_PROPERTIES,F3-NA,F3-SchemaUtil.normalizeIdentifier(tableName),F3-SchemaUtil.normalizeIdentifier(schemaName),F3-Double[],F3-byte[],F3-children.get(0),F3-getUrl(),F3-boolean,F3-PhoenixArray,F3-String,F3-long,F3-int,F3-Properties,F3-List<ParseNode>,F3-BitSet,F3-PreparedStatement,F3-FilenameFilter,F3-input,F3-Connection,F15-NA,F15-private,F15-protected,F15-public,F94,F21,F20,F22,F116,F117,F120,F110,F123,F115,F77,F41,F126,F71-ramkrishna.s.vasudevan@intel.com,F71-jtaylor@salesforce.com,F71-jamestaylor@apache.org,F71-ndimiduk@apache.org,F71-anoopsamjohn@gmail.com,F71-jeffreyz@apache.org,F71-greid@apache.org,F71-jyates@apache.org,F71-maryannxue@apache.org,F71-jzhong@JZhongs-MacBook-Pro.local,F71-ravimagham@apache.org,F71-stoens@apache.org,F71-rajeshbabu.chintaguntla@huawei.com,F71-elilevine@apache.org,F71-gabrielr@ngdata.com,F71-rajeshbabu@apache.org,F71-apurtell@apache.org,F71-larsh@apache.org,F71-mujtaba@apache.org,F71-maghamravikiran@gmail.com,category
1702,224,3,2,0.5555555555555556,0.5,0.3529411764705882,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,CORRECTNESS,RV_RETURN_VALUE_IGNORED,2,-1.0,0.2058823529411764,0.2013543055527906,-0.5882352941176471,236.19230769230768,-1.0,400,0,135,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,open
1585,143,10,12,0.2489082969432314,0.2926829268292683,0.6363636363636364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4571428571428571,0.0235984775241003,-0.0857142857142857,228.9561403508772,1.0,283,97,398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
1585,143,10,12,0.1921397379912663,0.2926829268292683,0.6363636363636364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4571428571428571,0.0235984775241003,-0.0857142857142857,228.9561403508772,1.0,283,97,398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
1585,143,10,12,0.9737991266375546,0.2926829268292683,0.6666666666666666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,1.0,0.5,0.3772880202743073,0.0,282.9373134328358,1.0,283,97,398,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
1585,143,4,12,0.4797297297297297,0.0862944162436548,0.2539682539682539,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,NP_LOAD_OF_KNOWN_NULL_VALUE,2,0.0,0.024390243902439,0.3772880202743073,-0.951219512195122,282.9373134328358,0.0,283,97,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,close
1585,143,4,12,0.3963963963963964,0.0862944162436548,0.238095238095238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,0.0,0.3,0.3772880202743073,-0.4,282.9373134328358,0.0,283,97,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
1585,143,23,12,0.16359918200409,0.5417376490630323,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,MALICIOUS_CODE,EI_EXPOSE_REP2,2,1.0,0.4571428571428571,0.0235984775241003,-0.0857142857142857,228.9561403508772,1.0,283,97,855,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,close
1585,143,23,12,0.294478527607362,0.5417376490630323,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,3,1.0,0.3,0.3772880202743073,-0.4,282.9373134328358,1.0,283,97,855,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,close
1585,143,23,12,0.5603271983640081,0.5417376490630323,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,REC_CATCH_EXCEPTION,2,1.0,0.4545454545454545,0.3772880202743073,-0.0909090909090909,282.9373134328358,1.0,283,97,855,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,close
1585,143,23,12,0.4795501022494887,0.5417376490630323,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,REC_CATCH_EXCEPTION,3,1.0,0.4545454545454545,0.3772880202743073,-0.0909090909090909,282.9373134328358,1.0,283,97,855,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,close
1585,143,3,12,0.9608938547486032,0.1275167785234899,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,STYLE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,2,1.0,0.3,0.3772880202743073,-0.4,282.9373134328358,1.0,123,97,110,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,close
1977,339,3,9,0.553921568627451,0.5675675675675675,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,0.0,0.2,0.063706285935549,-0.6,304.3720930232558,-1.0,675,0,310,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,open
1977,339,3,9,0.4166666666666667,0.5675675675675675,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,0.0,0.2,0.063706285935549,-0.6,304.3720930232558,-1.0,675,0,310,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,open
1789,296,12,9,0.2293729372937293,0.3535353535353535,0.6111111111111112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,BAD_PRACTICE,NM_CONFUSING,3,-0.5,0.125,0.1664585417281888,-0.75,229.1607629427793,-1.0,487,0,217,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
1789,296,12,9,0.5016501650165016,0.3535353535353535,0.2857142857142857,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,STYLE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,-1.0,0.12,0.3772880202743073,-0.76,282.9373134328358,-1.0,487,0,217,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open
1977,339,6,1,0.9375,0.1844262295081967,0.6190476190476191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,STYLE,DLS_DEAD_LOCAL_STORE,3,1.0,0.4444444444444444,0.3772880202743073,-0.1111111111111111,282.9373134328358,1.0,675,55,568,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,close
1977,339,8,12,0.625,0.4077669902912621,0.375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,MT_CORRECTNESS,DC_DOUBLECHECK,2,-1.0,0.0,0.0423657024793388,-1.0,261.8181818181818,-0.5,675,3,210,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
1977,339,8,12,0.44375,0.4077669902912621,0.2368421052631578,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,MT_CORRECTNESS,DC_DOUBLECHECK,2,-1.0,0.0,0.0423657024793388,-1.0,261.8181818181818,-0.5,675,3,210,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
1977,339,8,12,0.4875,0.4077669902912621,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,MT_CORRECTNESS,IS2_INCONSISTENT_SYNC,2,0.0,0.5,0.0423657024793388,0.0,261.8181818181818,-0.5,673,3,210,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,open
1977,339,8,12,0.53125,0.4077669902912621,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,0.0,0.1597222222222222,0.063706285935549,-0.6805555555555556,304.3720930232558,-0.5,675,3,210,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,close
1975,339,6,12,0.7736389684813754,0.3225806451612903,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,CORRECTNESS,DMI_INVOKING_TOSTRING_ON_ARRAY,1,-1.0,0.0,0.2013543055527906,-1.0,236.19230769230768,-1.0,211,3,229,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,open
