ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
0,5214,0.0,1.0,40.3,0,14,0,0,3,11,12781,-0.6428571428571429,-0.5,-1.0,0.1785714285714285,0.4950614421935408,0.4950614421935408,,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,17995,1.2905405405405406,1.0,0.6914893617021277,34,30,161,2523,3,5,12781,-0.6428571428571429,-0.5,-1.0,0.1785714285714285,0.4950614421935408,0.4950614421935408,F71-fhanik@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,17995,1.44,1.0,2.187037037037037,23,30,201,2523,3,5,12781,-0.6428571428571429,-0.5,-1.0,0.1785714285714285,0.4950614421935408,0.4950614421935408,F71-mturk@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,17995,1.44,1.0,2.259259259259259,23,30,201,2523,3,5,12781,-0.6428571428571429,-0.5,-1.0,0.1785714285714285,0.4950614421935408,0.4950614421935408,F71-mturk@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,17995,1.5063291139240509,1.0,0.4682713347921225,20,26,78,1846,3,18,12623,-0.6428571428571429,-0.5,-1.0,0.1785714285714285,0.4950614421935408,0.4950614421935408,F71-fhanik@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,17995,2.125,1.0,0.3653846153846153,14,26,79,1846,3,18,12781,-0.6428571428571429,-0.5,-1.0,0.1785714285714285,0.4950614421935408,0.4950614421935408,F71-mturk@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,8944,1.0,1.0,2.435897435897436,4,45,0,570,3,3,3730,-0.6428571428571429,-0.5,-1.0,0.1785714285714285,0.4950614421935408,0.4950614421935408,F71-markt@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,17995,0.573170731707317,0.6666666666666666,0.4519230769230769,13,21,251,1494,3,6,12781,-0.6428571428571429,-0.5,-1.0,0.1785714285714285,0.4950614421935408,0.4950614421935408,F71-schultz@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,17995,0.573170731707317,0.6666666666666666,1.2532051282051282,13,21,251,1494,3,6,12781,-0.6428571428571429,-0.5,-1.0,0.1785714285714285,0.4950614421935408,0.4950614421935408,F71-schultz@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
0,17995,0.573170731707317,1.0,0.9198717948717948,13,21,251,1494,2,6,12781,-0.6296296296296297,-1.0,-1.0,0.1851851851851851,0.3384864865075027,0.3384864865075027,F71-schultz@apache.org,F3-NA,F15-NA,REC_CATCH_EXCEPTION,STYLE,open
