ND,FCR,RCC,DWM,DWF,NM,NC,LAR,LAM,WR,NWP,NR,DWT,DM,DF,DLP,DDL,ALT,SD,PS,MV,WP,WT,category
105,4029,0.3095238095238095,0.6666666666666666,2.0204918032786887,7,23,102,103,3,17,14641,-0.3793103448275862,-0.5,-1.0,0.3103448275862069,0.6163151759730154,0.6163151759730154,F71-markt@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,open
3291,17995,0.2456140350877192,0.6003401360544217,0.69296875,27,76,97,99,3,82,14641,-0.7037037037037037,0.0,0.3333333333333333,0.1481481481481481,0.2127614114225195,0.2127614114225195,F71-fhanik@apache.org,F3-NA,F15-private,REC_CATCH_EXCEPTION,STYLE,close
3291,17995,0.4453602765222015,1.0,0.8505627962085308,305,76,5806,99,3,82,14641,-0.6071428571428571,0.0,-0.375,0.1964285714285714,0.1951022179705215,0.1951022179705215,F71-slaurent@apache.org,F3-NA,F15-NA,IS2_INCONSISTENT_SYNC,MT_CORRECTNESS,open
3291,17995,0.4453602765222015,0.6666666666666667,0.1212233412322274,305,76,5806,99,3,82,14641,-0.3793103448275862,0.5,-0.375,0.3103448275862069,0.6163151759730154,0.6163151759730154,F71-slaurent@apache.org,F3-NA,F15-NA,NM_CONFUSING,BAD_PRACTICE,close
3291,17995,0.4613935969868173,1.0,0.4470891293147861,81,76,1685,99,2,82,14641,-0.6071428571428571,0.0,-0.7142857142857143,0.1964285714285714,0.1951022179705215,0.1951022179705215,F71-fhanik@apache.org,F3-String,F15-NA,IS2_INCONSISTENT_SYNC,MT_CORRECTNESS,close
666,7732,0.7356902356902357,0.3514285714285714,0.4467178175618073,24,45,1061,62,3,12,4378,-0.6666666666666666,-1.0,-1.0,0.1666666666666666,0.2127614114225195,0.2127614114225195,F71-markt@apache.org,F3-String,F15-NA,DB_DUPLICATE_SWITCH_CLAUSES,STYLE,open
666,7732,0.7356902356902357,0.3290816326530612,0.1440750213128729,24,45,1061,62,3,12,4378,-0.6666666666666666,-1.0,-1.0,0.1666666666666666,0.2127614114225195,0.2127614114225195,F71-markt@apache.org,F3-NA,F15-NA,DB_DUPLICATE_SWITCH_CLAUSES,STYLE,open
666,7732,0.7356902356902357,1.0,0.3282182438192668,24,45,1061,62,2,12,4378,-1.0,-1.0,-1.0,0.0,0.00033522329041809555,0.00033522329041809555,F71-markt@apache.org,F3-String,F15-NA,HRS_REQUEST_PARAMETER_TO_HTTP_HEADER,SECURITY,open
1790,13745,0.3422222222222222,1.0,0.9333333333333332,10,45,102,62,3,12,10391,1.0,0.0,1.0,1.0,0.6163151759730154,0.6163151759730154,F71-kkolinko@apache.org,F3-NA,F15-NA,SE_INNER_CLASS,BAD_PRACTICE,close
1240,10625,0.7894736842105263,1.0,0.717948717948718,4,45,65,62,3,12,7271,-0.5714285714285714,1.0,1.0,0.2142857142857142,0.2127614114225195,0.2127614114225195,F71-kkolinko@apache.org,F3-NA,F15-NA,BC_UNCONFIRMED_CAST,STYLE,close
3038,17488,0.5238095238095238,1.0,0.6474694589877836,14,3,79,0,2,2,14134,-0.6071428571428571,0.0,-1.0,0.1964285714285714,0.1951022179705215,0.1951022179705215,F71-kfujino@apache.org,F3-NA,F15-NA,IS2_INCONSISTENT_SYNC,MT_CORRECTNESS,open
